Year,Month,Day,Hour,,,Ro
2013,1,1,0, , ,0.6598257401998766
2013,1,1,1, , ,0.20985948698807577
2013,1,1,2, , ,0.3251891946698961
2013,1,1,3, , ,0.7556308832524058
2013,1,1,4, , ,1.0132843481192986
2013,1,1,5, , ,1.015007986646906
2013,1,1,6, , ,0.7409163519657228
2013,1,1,7, , ,0.34620371932612237
2013,1,1,8, , ,0.3494510104372322
2013,1,1,9, , ,0.715388047394792
2013,1,1,10, , ,0.9562939145074926
2013,1,1,11, , ,0.9527581235306074
2013,1,1,12, , ,0.6906699750936403
2013,1,1,13, , ,0.2617040384486085
2013,1,1,14, , ,0.3009136152361439
2013,1,1,15, , ,0.7772619016342875
2013,1,1,16, , ,1.1083411943559671
2013,1,1,17, , ,1.1955571982144377
2013,1,1,18, , ,0.9640508876823326
2013,1,1,19, , ,0.5686370212787825
2013,1,1,20, , ,0.24651978291290144
2013,1,1,21, , ,0.532835822675939
2013,1,1,22, , ,0.8627885262888781
2013,1,1,23, , ,0.9900066009137065
2013,1,2,0, , ,0.8444981172779688
2013,1,2,1, , ,0.4889253753544616
2013,1,2,2, , ,0.08514693274294072
2013,1,2,3, , ,0.47548294135560804
2013,1,2,4, , ,0.8219100231868582
2013,1,2,5, , ,0.960437959111271
2013,1,2,6, , ,0.8513107650875827
2013,1,2,7, , ,0.5212111304118626
2013,1,2,8, , ,0.20700967877652793
2013,1,2,9, , ,0.5516239824460707
2013,1,2,10, , ,0.9216273855464078
2013,1,2,11, , ,1.099138353340416
2013,1,2,12, , ,1.007716814792416
2013,1,2,13, , ,0.6309841600802236
2013,1,2,14, , ,0.16075136310887875
2013,1,2,15, , ,0.3783397997872608
2013,1,2,16, , ,0.7892002415854642
2013,1,2,17, , ,1.0245867480748108
2013,1,2,18, , ,1.0264385256984847
2013,1,2,19, , ,0.7740284381189944
2013,1,2,20, , ,0.35024134863591133
2013,1,2,21, , ,0.29062864901805313
2013,1,2,22, , ,0.6808002924220831
2013,1,2,23, , ,0.9578831051216372
2013,1,3,0, , ,0.9983551858569465
2013,1,3,1, , ,0.7831635087372006
2013,1,3,2, , ,0.3503512812580681
2013,1,3,3, , ,0.14838464546065722
2013,1,3,4, , ,0.5647167667210339
2013,1,3,5, , ,0.8384677090661321
2013,1,3,6, , ,0.903002271580401
2013,1,3,7, , ,0.7402756596840131
2013,1,3,8, , ,0.39126079244627704
2013,1,3,9, , ,0.23100867111117232
2013,1,3,10, , ,0.6018180966558259
2013,1,3,11, , ,0.9042854071032277
2013,1,3,12, , ,0.9998800447114745
2013,1,3,13, , ,0.842214410509397
2013,1,3,14, , ,0.45135022761691185
2013,1,3,15, , ,0.06815423798684954
2013,1,3,16, , ,0.48584464886644146
2013,1,3,17, , ,0.8186531936880277
2013,1,3,18, , ,0.96367272143441
2013,1,3,19, , ,0.8820142013103448
2013,1,3,20, , ,0.5808218462113137
2013,1,3,21, , ,0.20470711756310364
2013,1,3,22, , ,0.41725413180980264
2013,1,3,23, , ,0.7809596852303895
2013,1,4,0, , ,0.9830992259030684
2013,1,4,1, , ,0.9461681136739647
2013,1,4,2, , ,0.6582743109426317
2013,1,4,3, , ,0.22772132792164695
2013,1,4,4, , ,0.22316363287780425
2013,1,4,5, , ,0.583535778699606
2013,1,4,6, , ,0.7831252016155171
2013,1,4,7, , ,0.7812310979157903
2013,1,4,8, , ,0.5776313848626563
2013,1,4,9, , ,0.24262111561263486
2013,1,4,10, , ,0.30870862671871796
2013,1,4,11, , ,0.673605988288017
2013,1,4,12, , ,0.9196026792630392
2013,1,4,13, , ,0.9545700821862318
2013,1,4,14, , ,0.7530538039256743
2013,1,4,15, , ,0.34111584568146497
2013,1,4,16, , ,0.131529469285178
2013,1,4,17, , ,0.5230545440905899
2013,1,4,18, , ,0.7896797421910274
2013,1,4,19, , ,0.8683277464656411
2013,1,4,20, , ,0.7410108524096648
2013,1,4,21, , ,0.43129690655171815
2013,1,4,22, , ,0.1417956302480998
2013,1,4,23, , ,0.47975516611541075
2013,1,5,0, , ,0.808517838681903
2013,1,5,1, , ,0.9686795343354211
2013,1,5,2, , ,0.9035668777551881
2013,1,5,3, , ,0.5934080084958454
2013,1,5,4, , ,0.1880877605746804
2013,1,5,5, , ,0.2170069289161495
2013,1,5,6, , ,0.5211765940282019
2013,1,5,7, , ,0.6733929393687922
2013,1,5,8, , ,0.6450775552593286
2013,1,5,9, , ,0.43785844000449153
2013,1,5,10, , ,0.13648443510319527
2013,1,5,11, , ,0.3582317999108619
2013,1,5,12, , ,0.6969397880882527
2013,1,5,13, , ,0.9046900385086741
2013,1,5,14, , ,0.9160333308878621
2013,1,5,15, , ,0.7010713578634725
2013,1,5,16, , ,0.3108649378035073
2013,1,5,17, , ,0.11810589161250402
2013,1,5,18, , ,0.4788455146257148
2013,1,5,19, , ,0.7251041672697343
2013,1,5,20, , ,0.808386693038789
2013,1,5,21, , ,0.7101190422567728
2013,1,5,22, , ,0.44111791741394735
2013,1,5,23, , ,0.11962023953703764
2013,1,6,0, , ,0.37725986798622374
2013,1,6,1, , ,0.6795329657195497
2013,1,6,2, , ,0.8336864092049205
2013,1,6,3, , ,0.7943626671473765
2013,1,6,4, , ,0.5710000395774841
2013,1,6,5, , ,0.1978206376722053
2013,1,6,6, , ,0.18809838119397876
2013,1,6,7, , ,0.47423626093451693
2013,1,6,8, , ,0.6162353542218735
2013,1,6,9, , ,0.595041203656687
2013,1,6,10, , ,0.40786886958439394
2013,1,6,11, , ,0.12088011232884814
2013,1,6,12, , ,0.33239888286540686
2013,1,6,13, , ,0.6578525821036182
2013,1,6,14, , ,0.8690984061211998
2013,1,6,15, , ,0.8969755272138971
2013,1,6,16, , ,0.7187580107716027
2013,1,6,17, , ,0.3522783269662811
2013,1,6,18, , ,0.05131276813801767
2013,1,6,19, , ,0.39473789440893825
2013,1,6,20, , ,0.6346692216233044
2013,1,6,21, , ,0.7228479025430308
2013,1,6,22, , ,0.6430007842802925
2013,1,6,23, , ,0.4003910736373251
2013,1,7,0, , ,0.10404326727988847
2013,1,7,1, , ,0.3785353507088526
2013,1,7,2, , ,0.6917116613397525
2013,1,7,3, , ,0.8689879734959732
2013,1,7,4, , ,0.8562365519916877
2013,1,7,5, , ,0.6481512188401898
2013,1,7,6, , ,0.2765230779983644
2013,1,7,7, , ,0.10245975084508424
2013,1,7,8, , ,0.4057314652742486
2013,1,7,9, , ,0.5847341320334069
2013,1,7,10, , ,0.6103613827222198
2013,1,7,11, , ,0.47071862818621435
2013,1,7,12, , ,0.19768662475177512
2013,1,7,13, , ,0.23491701983403576
2013,1,7,14, , ,0.5682622657663376
2013,1,7,15, , ,0.8154373474544183
2013,1,7,16, , ,0.8973255371402928
2013,1,7,17, , ,0.7770823866330554
2013,1,7,18, , ,0.45913181059305075
2013,1,7,19, , ,0.08443341130032458
2013,1,7,20, , ,0.2937362851638248
2013,1,7,21, , ,0.5755388918209463
2013,1,7,22, , ,0.7176747380263685
2013,1,7,23, , ,0.6872358036601447
2013,1,8,0, , ,0.47636228104921
2013,1,8,1, , ,0.15456390958745628
2013,1,8,2, , ,0.32798324236097953
2013,1,8,3, , ,0.6775876557119601
2013,1,8,4, , ,0.9065324271875389
2013,1,8,5, , ,0.9407592914552284
2013,1,8,6, , ,0.7463545249567213
2013,1,8,7, , ,0.38122173242405355
2013,1,8,8, , ,0.02780287949336956
2013,1,8,9, , ,0.3852492733900337
2013,1,8,10, , ,0.6456973380437011
2013,1,8,11, , ,0.7580026547304929
2013,1,8,12, , ,0.7115343088247393
2013,1,8,13, , ,0.5003568958578073
2013,1,8,14, , ,0.16618363820395446
2013,1,8,15, , ,0.29978659983672673
2013,1,8,16, , ,0.6112454642081231
2013,1,8,17, , ,0.7825376038790786
2013,1,8,18, , ,0.7512716277152784
2013,1,8,19, , ,0.5218198915077542
2013,1,8,20, , ,0.14303147124643634
2013,1,8,21, , ,0.3311465081564523
2013,1,8,22, , ,0.7082655092489357
2013,1,8,23, , ,0.9381221019670893
2013,1,9,0, , ,0.9671965232174333
2013,1,9,1, , ,0.7681666552762004
2013,1,9,2, , ,0.3703539125414427
2013,1,9,3, , ,0.1748056207877883
2013,1,9,4, , ,0.5441709473095677
2013,1,9,5, , ,0.8319549697354742
2013,1,9,6, , ,0.9230087050188592
2013,1,9,7, , ,0.7801859191715266
2013,1,9,8, , ,0.42165627533354183
2013,1,9,9, , ,0.11321661448537661
2013,1,9,10, , ,0.49080548275859714
2013,1,9,11, , ,0.8060794560116944
2013,1,9,12, , ,0.9406280481189018
2013,1,9,13, , ,0.8528687385091355
2013,1,9,14, , ,0.5654166711900956
2013,1,9,15, , ,0.17618173226736383
2013,1,9,16, , ,0.40335098419889875
2013,1,9,17, , ,0.78751069950533
2013,1,9,18, , ,1.0112848635349312
2013,1,9,19, , ,0.9941131902817283
2013,1,9,20, , ,0.6791538975374353
2013,1,9,21, , ,0.2526756937192397
2013,1,9,22, , ,0.28891694211923785
2013,1,9,23, , ,0.6891974112084388
2013,1,10,0, , ,0.9369103725499537
2013,1,10,1, , ,0.9661108110853415
2013,1,10,2, , ,0.7650026596742413
