Day,HR,Demand (MW)
01-JAN-2013,0,33080.5
01-JAN-2013,1,32467.0
01-JAN-2013,2,30379.5
01-JAN-2013,3,28211.5
01-JAN-2013,4,26627.0
01-JAN-2013,5,25977.5
01-JAN-2013,6,26353.0
01-JAN-2013,7,25920.5
01-JAN-2013,8,26415.5
01-JAN-2013,9,28906.5
01-JAN-2013,10,31522.0
01-JAN-2013,11,33495.5
01-JAN-2013,12,34769.0
01-JAN-2013,13,34958.0
01-JAN-2013,14,35274.0
01-JAN-2013,15,36231.5
01-JAN-2013,16,40353.5
01-JAN-2013,17,42481.0
01-JAN-2013,18,41431.5
01-JAN-2013,19,39795.0
01-JAN-2013,20,37771.5
01-JAN-2013,21,35590.0
01-JAN-2013,22,32997.5
01-JAN-2013,23,30947.5
02-JAN-2013,0,30810.5
02-JAN-2013,1,30448.5
02-JAN-2013,2,29709.0
02-JAN-2013,3,28750.0
02-JAN-2013,4,27957.5
02-JAN-2013,5,28588.5
02-JAN-2013,6,31697.5
02-JAN-2013,7,36722.0
02-JAN-2013,8,39788.0
02-JAN-2013,9,42413.5
02-JAN-2013,10,44052.5
02-JAN-2013,11,45172.5
02-JAN-2013,12,45767.5
02-JAN-2013,13,45689.0
02-JAN-2013,14,45537.0
02-JAN-2013,15,45825.0
02-JAN-2013,16,48852.0
02-JAN-2013,17,50383.0
02-JAN-2013,18,48921.0
02-JAN-2013,19,46208.5
02-JAN-2013,20,43266.0
02-JAN-2013,21,39857.5
02-JAN-2013,22,36397.0
02-JAN-2013,23,33467.0
03-JAN-2013,0,32911.5
03-JAN-2013,1,32151.0
03-JAN-2013,2,30963.0
03-JAN-2013,3,29568.5
03-JAN-2013,4,28495.0
03-JAN-2013,5,29074.5
03-JAN-2013,6,33110.5
03-JAN-2013,7,36912.5
03-JAN-2013,8,40239.5
03-JAN-2013,9,42369.5
03-JAN-2013,10,43383.5
03-JAN-2013,11,44146.0
03-JAN-2013,12,44678.5
03-JAN-2013,13,44679.0
03-JAN-2013,14,44721.0
03-JAN-2013,15,45351.0
03-JAN-2013,16,48949.5
03-JAN-2013,17,50641.0
03-JAN-2013,18,49304.0
03-JAN-2013,19,46435.0
03-JAN-2013,20,43412.5
03-JAN-2013,21,39961.5
03-JAN-2013,22,36406.5
03-JAN-2013,23,33799.0
04-JAN-2013,0,33115.0
04-JAN-2013,1,32137.0
04-JAN-2013,2,30999.5
04-JAN-2013,3,29846.5
04-JAN-2013,4,28959.0
04-JAN-2013,5,29553.0
04-JAN-2013,6,32882.0
04-JAN-2013,7,37342.0
04-JAN-2013,8,40926.0
04-JAN-2013,9,42994.0
04-JAN-2013,10,43787.0
04-JAN-2013,11,44100.0
04-JAN-2013,12,44202.5
04-JAN-2013,13,43802.5
04-JAN-2013,14,43618.0
04-JAN-2013,15,43942.5
04-JAN-2013,16,47383.5
04-JAN-2013,17,49073.0
04-JAN-2013,18,48014.0
04-JAN-2013,19,45212.0
04-JAN-2013,20,42159.0
04-JAN-2013,21,39075.5
04-JAN-2013,22,35922.5
04-JAN-2013,23,33343.0
05-JAN-2013,0,32759.5
05-JAN-2013,1,31861.0
05-JAN-2013,2,30475.0
05-JAN-2013,3,29064.5
05-JAN-2013,4,28175.0
05-JAN-2013,5,28118.5
05-JAN-2013,6,29557.5
05-JAN-2013,7,30700.0
05-JAN-2013,8,33471.0
05-JAN-2013,9,36638.5
05-JAN-2013,10,38210.0
05-JAN-2013,11,38892.0
05-JAN-2013,12,39028.5
05-JAN-2013,13,38470.5
05-JAN-2013,14,38157.5
05-JAN-2013,15,38701.5
05-JAN-2013,16,42472.5
05-JAN-2013,17,45067.5
05-JAN-2013,18,44033.0
05-JAN-2013,19,41640.0
05-JAN-2013,20,39122.5
05-JAN-2013,21,36515.5
05-JAN-2013,22,34238.0
05-JAN-2013,23,32555.5
06-JAN-2013,0,32072.0
06-JAN-2013,1,31214.0
06-JAN-2013,2,29659.0
06-JAN-2013,3,28409.5
06-JAN-2013,4,27474.0
06-JAN-2013,5,27268.5
06-JAN-2013,6,27870.5
06-JAN-2013,7,28203.5
06-JAN-2013,8,30121.0
06-JAN-2013,9,33739.5
06-JAN-2013,10,36891.0
06-JAN-2013,11,38903.0
06-JAN-2013,12,40140.0
06-JAN-2013,13,40088.0
06-JAN-2013,14,39924.0
06-JAN-2013,15,40746.5
06-JAN-2013,16,44479.0
06-JAN-2013,17,46138.5
06-JAN-2013,18,44517.5
06-JAN-2013,19,42212.0
06-JAN-2013,20,40121.0
06-JAN-2013,21,37100.5
06-JAN-2013,22,33936.0
06-JAN-2013,23,31421.5
07-JAN-2013,0,31172.5
07-JAN-2013,1,30870.0
07-JAN-2013,2,29787.5
07-JAN-2013,3,28813.0
07-JAN-2013,4,28161.5
07-JAN-2013,5,29159.5
07-JAN-2013,6,34074.0
07-JAN-2013,7,40932.5
07-JAN-2013,8,43833.0
07-JAN-2013,9,45217.5
07-JAN-2013,10,45697.0
07-JAN-2013,11,46206.0
07-JAN-2013,12,46298.0
07-JAN-2013,13,46186.0
07-JAN-2013,14,46169.5
07-JAN-2013,15,46975.5
07-JAN-2013,16,50351.5
07-JAN-2013,17,51976.0
07-JAN-2013,18,50442.5
07-JAN-2013,19,47801.5
07-JAN-2013,20,44663.0
07-JAN-2013,21,40862.5
07-JAN-2013,22,36580.5
07-JAN-2013,23,33437.0
08-JAN-2013,0,33002.0
08-JAN-2013,1,32435.0
08-JAN-2013,2,31261.0
08-JAN-2013,3,30446.0
08-JAN-2013,4,29685.5
08-JAN-2013,5,31320.0
08-JAN-2013,6,36185.5
08-JAN-2013,7,42650.0
08-JAN-2013,8,44193.5
08-JAN-2013,9,44717.5
08-JAN-2013,10,44769.5
08-JAN-2013,11,45151.0
08-JAN-2013,12,45420.0
08-JAN-2013,13,45488.0
08-JAN-2013,14,45539.5
08-JAN-2013,15,46236.5
08-JAN-2013,16,50492.5
08-JAN-2013,17,52051.0
08-JAN-2013,18,50636.0
08-JAN-2013,19,47986.5
08-JAN-2013,20,44999.0
08-JAN-2013,21,41271.5
08-JAN-2013,22,37183.5
08-JAN-2013,23,33435.5
09-JAN-2013,0,33518.0
09-JAN-2013,1,33224.5
09-JAN-2013,2,32336.0
09-JAN-2013,3,31403.5
09-JAN-2013,4,30780.5
09-JAN-2013,5,32142.0
09-JAN-2013,6,36583.0
09-JAN-2013,7,42871.0
09-JAN-2013,8,44887.0
09-JAN-2013,9,45673.5
09-JAN-2013,10,45746.0
09-JAN-2013,11,45870.0
09-JAN-2013,12,45752.0
09-JAN-2013,13,45324.5
09-JAN-2013,14,45181.5
09-JAN-2013,15,45561.5
09-JAN-2013,16,49694.5
09-JAN-2013,17,52323.0
09-JAN-2013,18,51602.5
09-JAN-2013,19,49040.0
09-JAN-2013,20,46428.0
09-JAN-2013,21,42464.0
09-JAN-2013,22,38379.5
09-JAN-2013,23,34491.0
10-JAN-2013,0,34661.5
10-JAN-2013,1,34416.0
10-JAN-2013,2,33682.0
10-JAN-2013,3,33072.5
10-JAN-2013,4,32218.5
10-JAN-2013,5,32692.5
10-JAN-2013,6,37239.5
10-JAN-2013,7,44555.0
10-JAN-2013,8,46743.0
10-JAN-2013,9,47778.0
10-JAN-2013,10,48186.5
10-JAN-2013,11,48472.5
10-JAN-2013,12,48809.5
10-JAN-2013,13,48519.0
10-JAN-2013,14,48543.5
10-JAN-2013,15,48919.5
10-JAN-2013,16,52274.5
10-JAN-2013,17,53460.5
10-JAN-2013,18,53003.0
10-JAN-2013,19,50633.5
10-JAN-2013,20,47510.5
10-JAN-2013,21,43547.5
10-JAN-2013,22,39296.5
10-JAN-2013,23,35951.5
11-JAN-2013,0,35067.5
11-JAN-2013,1,34890.5
11-JAN-2013,2,34271.0
11-JAN-2013,3,33275.0
11-JAN-2013,4,32424.5
11-JAN-2013,5,32965.0
11-JAN-2013,6,38238.5
11-JAN-2013,7,44821.0
11-JAN-2013,8,46774.0
11-JAN-2013,9,47860.0
11-JAN-2013,10,48003.5
11-JAN-2013,11,47871.0
11-JAN-2013,12,47695.5
11-JAN-2013,13,47113.5
11-JAN-2013,14,46740.5
11-JAN-2013,15,46714.5
11-JAN-2013,16,50657.0
11-JAN-2013,17,52988.5
11-JAN-2013,18,51597.5
11-JAN-2013,19,48949.0
11-JAN-2013,20,45732.5
11-JAN-2013,21,41996.5
11-JAN-2013,22,38580.0
11-JAN-2013,23,35375.5
12-JAN-2013,0,35024.5
12-JAN-2013,1,33867.5
12-JAN-2013,2,32819.0
12-JAN-2013,3,31761.5
12-JAN-2013,4,30320.5
12-JAN-2013,5,30191.0
12-JAN-2013,6,31421.5
12-JAN-2013,7,33691.5
12-JAN-2013,8,37289.0
12-JAN-2013,9,41058.0
12-JAN-2013,10,42432.0
12-JAN-2013,11,43237.5
12-JAN-2013,12,43592.5
12-JAN-2013,13,43007.0
12-JAN-2013,14,42584.5
12-JAN-2013,15,42778.5
12-JAN-2013,16,45915.5
12-JAN-2013,17,48838.0
12-JAN-2013,18,47933.5
12-JAN-2013,19,45340.0
12-JAN-2013,20,42674.0
12-JAN-2013,21,39928.5
12-JAN-2013,22,37527.5
12-JAN-2013,23,35228.5
13-JAN-2013,0,34991.5
13-JAN-2013,1,34289.5
13-JAN-2013,2,33108.5
13-JAN-2013,3,32513.0
13-JAN-2013,4,31376.0
13-JAN-2013,5,30815.0
13-JAN-2013,6,31133.5
13-JAN-2013,7,31471.5
13-JAN-2013,8,34247.0
13-JAN-2013,9,38864.0
13-JAN-2013,10,41627.5
13-JAN-2013,11,42754.0
13-JAN-2013,12,43771.0
13-JAN-2013,13,43702.5
13-JAN-2013,14,43564.5
13-JAN-2013,15,44453.0
13-JAN-2013,16,48028.0
13-JAN-2013,17,50423.0
13-JAN-2013,18,48945.0
13-JAN-2013,19,46881.0
13-JAN-2013,20,44741.0
13-JAN-2013,21,41504.0
13-JAN-2013,22,37934.5
13-JAN-2013,23,35279.5
14-JAN-2013,0,35095.5
14-JAN-2013,1,34898.5
14-JAN-2013,2,34274.5
14-JAN-2013,3,33691.0
14-JAN-2013,4,32805.5
14-JAN-2013,5,34035.5
14-JAN-2013,6,39063.5
14-JAN-2013,7,45889.0
14-JAN-2013,8,48336.5
14-JAN-2013,9,50226.0
14-JAN-2013,10,50737.0
14-JAN-2013,11,51014.0
14-JAN-2013,12,51533.5
14-JAN-2013,13,51415.0
14-JAN-2013,14,51083.5
14-JAN-2013,15,50763.5
14-JAN-2013,16,53109.5
14-JAN-2013,17,54627.5
14-JAN-2013,18,53936.5
14-JAN-2013,19,51527.0
14-JAN-2013,20,48535.5
14-JAN-2013,21,44707.5
14-JAN-2013,22,40186.5
14-JAN-2013,23,36451.5
15-JAN-2013,0,36420.0
15-JAN-2013,1,35977.5
15-JAN-2013,2,35691.5
15-JAN-2013,3,34875.5
15-JAN-2013,4,34232.0
15-JAN-2013,5,34978.0
15-JAN-2013,6,40804.5
15-JAN-2013,7,47178.5
15-JAN-2013,8,49041.0
15-JAN-2013,9,50088.0
15-JAN-2013,10,50403.5
15-JAN-2013,11,50460.5
15-JAN-2013,12,50432.0
15-JAN-2013,13,49906.5
15-JAN-2013,14,49716.5
15-JAN-2013,15,50241.0
15-JAN-2013,16,53230.5
15-JAN-2013,17,55244.0
15-JAN-2013,18,54902.0
15-JAN-2013,19,53005.5
15-JAN-2013,20,50166.5
15-JAN-2013,21,46225.0
15-JAN-2013,22,41717.5
15-JAN-2013,23,37678.0
16-JAN-2013,0,37569.5
16-JAN-2013,1,37680.0
16-JAN-2013,2,36943.0
16-JAN-2013,3,36226.0
16-JAN-2013,4,35436.0
16-JAN-2013,5,36534.5
16-JAN-2013,6,41820.0
16-JAN-2013,7,49063.5
16-JAN-2013,8,50808.5
16-JAN-2013,9,52014.5
16-JAN-2013,10,52299.0
16-JAN-2013,11,52487.0
16-JAN-2013,12,52416.0
16-JAN-2013,13,51549.5
16-JAN-2013,14,51563.0
16-JAN-2013,15,51994.0
16-JAN-2013,16,54551.0
16-JAN-2013,17,56389.5
16-JAN-2013,18,56214.5
16-JAN-2013,19,54173.5
16-JAN-2013,20,51062.5
16-JAN-2013,21,47332.0
16-JAN-2013,22,43155.0
16-JAN-2013,23,39053.5
17-JAN-2013,0,38890.5
17-JAN-2013,1,38745.0
17-JAN-2013,2,38191.5
17-JAN-2013,3,37650.0
17-JAN-2013,4,37262.5
17-JAN-2013,5,37585.0
17-JAN-2013,6,42070.5
17-JAN-2013,7,48498.0
17-JAN-2013,8,50205.5
17-JAN-2013,9,51522.0
17-JAN-2013,10,51884.5
