Site,Latitude,Longitude
17,50.0,1.875
23,50.5,-5.0
24,50.5,-4.375
25,50.5,-3.75
34,50.5,1.875
42,51.0,-3.75
43,51.0,-3.125
44,51.0,-2.5
45,51.0,-1.875
46,51.0,-1.25
47,51.0,-0.625
48,51.0,-5.920304394294029e-13
49,51.0,0.625
60,51.5,-3.125
61,51.5,-2.5
62,51.5,-1.875
63,51.5,-1.25
64,51.5,-0.625
65,51.5,-5.920304394294029e-13
74,52.0,-5.0
75,52.0,-4.375
76,52.0,-3.75
77,52.0,-3.125
78,52.0,-2.5
79,52.0,-1.875
80,52.0,-1.25
81,52.0,-0.625
82,52.0,-5.920304394294029e-13
83,52.0,0.625
84,52.0,1.25
88,52.5,-6.875
93,52.5,-3.75
94,52.5,-3.125
95,52.5,-2.5
96,52.5,-1.875
97,52.5,-1.25
98,52.5,-0.625
99,52.5,-5.920304394294029e-13
100,52.5,0.625
101,52.5,1.25
105,53.0,-6.875
106,53.0,-6.25
109,53.0,-4.375
110,53.0,-3.75
111,53.0,-3.125
112,53.0,-2.5
113,53.0,-1.875
114,53.0,-1.25
115,53.0,-0.625
116,53.0,-5.920304394294029e-13
122,53.5,-6.875
123,53.5,-6.25
129,53.5,-2.5
130,53.5,-1.875
131,53.5,-1.25
132,53.5,-0.625
133,53.5,-5.920304394294029e-13
139,54.0,-6.875
140,54.0,-6.25
146,54.0,-2.5
147,54.0,-1.875
148,54.0,-1.25
149,54.0,-0.625
156,54.5,-6.875
157,54.5,-6.25
158,54.5,-5.625
162,54.5,-3.125
163,54.5,-2.5
164,54.5,-1.875
165,54.5,-1.25
173,55.0,-6.875
174,55.0,-6.25
176,55.0,-5.0
177,55.0,-4.375
178,55.0,-3.75
179,55.0,-3.125
180,55.0,-2.5
181,55.0,-1.875
192,55.5,-5.625
194,55.5,-4.375
195,55.5,-3.75
196,55.5,-3.125
197,55.5,-2.5
198,55.5,-1.875
210,56.0,-5.0
211,56.0,-4.375
212,56.0,-3.75
224,56.5,-6.875
227,56.5,-5.0
228,56.5,-4.375
229,56.5,-3.75
230,56.5,-3.125
242,57.0,-6.25
243,57.0,-5.625
244,57.0,-5.0
245,57.0,-4.375
246,57.0,-3.75
247,57.0,-3.125
248,57.0,-2.5
259,57.5,-6.25
260,57.5,-5.625
261,57.5,-5.0
263,57.5,-3.75
264,57.5,-3.125
265,57.5,-2.5
266,57.5,-1.875
275,58.0,-6.875
278,58.0,-5.0
279,58.0,-4.375
293,58.5,-6.25
295,58.5,-5.0
296,58.5,-4.375
297,58.5,-3.75
