Site,Latitude,Longitude
1,50.0,-8.125
2,50.0,-7.5
3,50.0,-6.875
4,50.0,-6.25
5,50.0,-5.625
6,50.0,-5.0
7,50.0,-4.375
8,50.0,-3.75
9,50.0,-3.125
10,50.0,-2.5
11,50.0,-1.875
12,50.0,-1.25
13,50.0,-0.625
14,50.0,-5.920304394294029e-13
15,50.0,0.625
16,50.0,1.25
17,50.0,1.875
18,50.5,-8.125
19,50.5,-7.5
20,50.5,-6.875
21,50.5,-6.25
22,50.5,-5.625
23,50.5,-5.0
24,50.5,-4.375
25,50.5,-3.75
26,50.5,-3.125
27,50.5,-2.5
28,50.5,-1.875
29,50.5,-1.25
30,50.5,-0.625
31,50.5,-5.920304394294029e-13
32,50.5,0.625
33,50.5,1.25
34,50.5,1.875
35,51.0,-8.125
36,51.0,-7.5
37,51.0,-6.875
38,51.0,-6.25
39,51.0,-5.625
40,51.0,-5.0
41,51.0,-4.375
42,51.0,-3.75
43,51.0,-3.125
44,51.0,-2.5
45,51.0,-1.875
46,51.0,-1.25
47,51.0,-0.625
48,51.0,-5.920304394294029e-13
49,51.0,0.625
50,51.0,1.25
51,51.0,1.875
52,51.5,-8.125
53,51.5,-7.5
54,51.5,-6.875
55,51.5,-6.25
56,51.5,-5.625
57,51.5,-5.0
58,51.5,-4.375
59,51.5,-3.75
60,51.5,-3.125
61,51.5,-2.5
62,51.5,-1.875
63,51.5,-1.25
64,51.5,-0.625
65,51.5,-5.920304394294029e-13
66,51.5,0.625
67,51.5,1.25
68,51.5,1.875
69,52.0,-8.125
70,52.0,-7.5
71,52.0,-6.875
72,52.0,-6.25
73,52.0,-5.625
74,52.0,-5.0
75,52.0,-4.375
76,52.0,-3.75
77,52.0,-3.125
78,52.0,-2.5
79,52.0,-1.875
80,52.0,-1.25
81,52.0,-0.625
82,52.0,-5.920304394294029e-13
83,52.0,0.625
84,52.0,1.25
85,52.0,1.875
86,52.5,-8.125
87,52.5,-7.5
88,52.5,-6.875
89,52.5,-6.25
90,52.5,-5.625
91,52.5,-5.0
92,52.5,-4.375
93,52.5,-3.75
