Site,Latitude,Longitude
16,50.0,1.875
21,50.5,-5.0
22,50.5,-4.375
23,50.5,-3.75
32,50.5,1.875
39,51.0,-3.75
40,51.0,-3.125
41,51.0,-2.5
42,51.0,-1.875
43,51.0,-1.25
44,51.0,-0.625
45,51.0,-5.920304394294029e-13
46,51.0,0.625
56,51.5,-3.125
57,51.5,-2.5
58,51.5,-1.875
59,51.5,-1.25
60,51.5,-0.625
61,51.5,-5.920304394294029e-13
69,52.0,-5.0
70,52.0,-4.375
71,52.0,-3.75
72,52.0,-3.125
73,52.0,-2.5
74,52.0,-1.875
75,52.0,-1.25
76,52.0,-0.625
77,52.0,-5.920304394294029e-13
78,52.0,0.625
79,52.0,1.25
82,52.5,-6.875
87,52.5,-3.75
88,52.5,-3.125
89,52.5,-2.5
90,52.5,-1.875
91,52.5,-1.25
92,52.5,-0.625
93,52.5,-5.920304394294029e-13
94,52.5,0.625
95,52.5,1.25
98,53.0,-6.875
99,53.0,-6.25
102,53.0,-4.375
103,53.0,-3.75
104,53.0,-3.125
105,53.0,-2.5
106,53.0,-1.875
107,53.0,-1.25
108,53.0,-0.625
109,53.0,-5.920304394294029e-13
114,53.5,-6.875
115,53.5,-6.25
121,53.5,-2.5
122,53.5,-1.875
123,53.5,-1.25
124,53.5,-0.625
125,53.5,-5.920304394294029e-13
130,54.0,-6.875
131,54.0,-6.25
137,54.0,-2.5
138,54.0,-1.875
139,54.0,-1.25
140,54.0,-0.625
146,54.5,-6.875
147,54.5,-6.25
148,54.5,-5.625
152,54.5,-3.125
153,54.5,-2.5
154,54.5,-1.875
155,54.5,-1.25
162,55.0,-6.875
163,55.0,-6.25
165,55.0,-5.0
166,55.0,-4.375
167,55.0,-3.75
168,55.0,-3.125
169,55.0,-2.5
170,55.0,-1.875
180,55.5,-5.625
182,55.5,-4.375
183,55.5,-3.75
184,55.5,-3.125
185,55.5,-2.5
186,55.5,-1.875
197,56.0,-5.0
198,56.0,-4.375
199,56.0,-3.75
210,56.5,-6.875
213,56.5,-5.0
214,56.5,-4.375
215,56.5,-3.75
216,56.5,-3.125
227,57.0,-6.25
228,57.0,-5.625
229,57.0,-5.0
230,57.0,-4.375
231,57.0,-3.75
232,57.0,-3.125
233,57.0,-2.5
243,57.5,-6.25
244,57.5,-5.625
245,57.5,-5.0
247,57.5,-3.75
248,57.5,-3.125
249,57.5,-2.5
250,57.5,-1.875
258,58.0,-6.875
261,58.0,-5.0
262,58.0,-4.375
275,58.5,-6.25
277,58.5,-5.0
278,58.5,-4.375
279,58.5,-3.75
