Site,Latitude,Longitude
1,50.0,-7.5
2,50.0,-6.875
3,50.0,-6.25
4,50.0,-5.625
5,50.0,-5.0
6,50.0,-4.375
7,50.0,-3.75
8,50.0,-3.125
9,50.0,-2.5
10,50.0,-1.875
11,50.0,-1.25
12,50.0,-0.625
13,50.0,-5.920304394294029e-13
14,50.0,0.625
15,50.0,1.25
16,50.0,1.875
17,50.5,-7.5
18,50.5,-6.875
19,50.5,-6.25
20,50.5,-5.625
21,50.5,-5.0
22,50.5,-4.375
23,50.5,-3.75
24,50.5,-3.125
25,50.5,-2.5
26,50.5,-1.875
27,50.5,-1.25
28,50.5,-0.625
29,50.5,-5.920304394294029e-13
30,50.5,0.625
31,50.5,1.25
32,50.5,1.875
33,51.0,-7.5
34,51.0,-6.875
35,51.0,-6.25
36,51.0,-5.625
37,51.0,-5.0
38,51.0,-4.375
39,51.0,-3.75
40,51.0,-3.125
41,51.0,-2.5
42,51.0,-1.875
43,51.0,-1.25
44,51.0,-0.625
45,51.0,-5.920304394294029e-13
46,51.0,0.625
47,51.0,1.25
48,51.0,1.875
49,51.5,-7.5
50,51.5,-6.875
51,51.5,-6.25
52,51.5,-5.625
53,51.5,-5.0
54,51.5,-4.375
55,51.5,-3.75
56,51.5,-3.125
57,51.5,-2.5
58,51.5,-1.875
59,51.5,-1.25
60,51.5,-0.625
61,51.5,-5.920304394294029e-13
62,51.5,0.625
63,51.5,1.25
64,51.5,1.875
65,52.0,-7.5
66,52.0,-6.875
67,52.0,-6.25
68,52.0,-5.625
69,52.0,-5.0
70,52.0,-4.375
71,52.0,-3.75
72,52.0,-3.125
73,52.0,-2.5
74,52.0,-1.875
75,52.0,-1.25
76,52.0,-0.625
77,52.0,-5.920304394294029e-13
78,52.0,0.625
79,52.0,1.25
80,52.0,1.875
81,52.5,-7.5
82,52.5,-6.875
83,52.5,-6.25
84,52.5,-5.625
85,52.5,-5.0
86,52.5,-4.375
87,52.5,-3.75
88,52.5,-3.125
89,52.5,-2.5
90,52.5,-1.875
91,52.5,-1.25
92,52.5,-0.625
93,52.5,-5.920304394294029e-13
94,52.5,0.625
95,52.5,1.25
96,52.5,1.875
97,53.0,-7.5
98,53.0,-6.875
99,53.0,-6.25
100,53.0,-5.625
101,53.0,-5.0
102,53.0,-4.375
103,53.0,-3.75
104,53.0,-3.125
105,53.0,-2.5
106,53.0,-1.875
107,53.0,-1.25
108,53.0,-0.625
109,53.0,-5.920304394294029e-13
110,53.0,0.625
111,53.0,1.25
112,53.0,1.875
113,53.5,-7.5
114,53.5,-6.875
115,53.5,-6.25
116,53.5,-5.625
117,53.5,-5.0
118,53.5,-4.375
119,53.5,-3.75
120,53.5,-3.125
121,53.5,-2.5
122,53.5,-1.875
123,53.5,-1.25
124,53.5,-0.625
125,53.5,-5.920304394294029e-13
126,53.5,0.625
127,53.5,1.25
128,53.5,1.875
129,54.0,-7.5
130,54.0,-6.875
131,54.0,-6.25
132,54.0,-5.625
133,54.0,-5.0
134,54.0,-4.375
135,54.0,-3.75
136,54.0,-3.125
137,54.0,-2.5
138,54.0,-1.875
139,54.0,-1.25
140,54.0,-0.625
141,54.0,-5.920304394294029e-13
142,54.0,0.625
143,54.0,1.25
144,54.0,1.875
145,54.5,-7.5
146,54.5,-6.875
147,54.5,-6.25
148,54.5,-5.625
149,54.5,-5.0
150,54.5,-4.375
151,54.5,-3.75
152,54.5,-3.125
153,54.5,-2.5
154,54.5,-1.875
155,54.5,-1.25
156,54.5,-0.625
157,54.5,-5.920304394294029e-13
158,54.5,0.625
159,54.5,1.25
160,54.5,1.875
161,55.0,-7.5
162,55.0,-6.875
163,55.0,-6.25
164,55.0,-5.625
165,55.0,-5.0
166,55.0,-4.375
167,55.0,-3.75
168,55.0,-3.125
169,55.0,-2.5
170,55.0,-1.875
171,55.0,-1.25
172,55.0,-0.625
173,55.0,-5.920304394294029e-13
174,55.0,0.625
175,55.0,1.25
176,55.0,1.875
177,55.5,-7.5
178,55.5,-6.875
179,55.5,-6.25
180,55.5,-5.625
181,55.5,-5.0
182,55.5,-4.375
183,55.5,-3.75
184,55.5,-3.125
185,55.5,-2.5
186,55.5,-1.875
187,55.5,-1.25
188,55.5,-0.625
189,55.5,-5.920304394294029e-13
190,55.5,0.625
191,55.5,1.25
192,55.5,1.875
193,56.0,-7.5
194,56.0,-6.875
195,56.0,-6.25
196,56.0,-5.625
197,56.0,-5.0
198,56.0,-4.375
199,56.0,-3.75
200,56.0,-3.125
201,56.0,-2.5
202,56.0,-1.875
203,56.0,-1.25
204,56.0,-0.625
205,56.0,-5.920304394294029e-13
206,56.0,0.625
207,56.0,1.25
208,56.0,1.875
209,56.5,-7.5
210,56.5,-6.875
211,56.5,-6.25
212,56.5,-5.625
213,56.5,-5.0
214,56.5,-4.375
215,56.5,-3.75
216,56.5,-3.125
217,56.5,-2.5
218,56.5,-1.875
219,56.5,-1.25
220,56.5,-0.625
221,56.5,-5.920304394294029e-13
222,56.5,0.625
223,56.5,1.25
224,56.5,1.875
225,57.0,-7.5
226,57.0,-6.875
227,57.0,-6.25
228,57.0,-5.625
229,57.0,-5.0
230,57.0,-4.375
231,57.0,-3.75
232,57.0,-3.125
233,57.0,-2.5
234,57.0,-1.875
235,57.0,-1.25
236,57.0,-0.625
237,57.0,-5.920304394294029e-13
238,57.0,0.625
239,57.0,1.25
240,57.0,1.875
241,57.5,-7.5
242,57.5,-6.875
243,57.5,-6.25
244,57.5,-5.625
245,57.5,-5.0
246,57.5,-4.375
247,57.5,-3.75
248,57.5,-3.125
249,57.5,-2.5
250,57.5,-1.875
251,57.5,-1.25
252,57.5,-0.625
253,57.5,-5.920304394294029e-13
254,57.5,0.625
255,57.5,1.25
256,57.5,1.875
257,58.0,-7.5
258,58.0,-6.875
259,58.0,-6.25
260,58.0,-5.625
261,58.0,-5.0
262,58.0,-4.375
263,58.0,-3.75
264,58.0,-3.125
265,58.0,-2.5
266,58.0,-1.875
267,58.0,-1.25
268,58.0,-0.625
269,58.0,-5.920304394294029e-13
270,58.0,0.625
271,58.0,1.25
272,58.0,1.875
273,58.5,-7.5
274,58.5,-6.875
275,58.5,-6.25
276,58.5,-5.625
277,58.5,-5.0
278,58.5,-4.375
279,58.5,-3.75
280,58.5,-3.125
281,58.5,-2.5
282,58.5,-1.875
283,58.5,-1.25
284,58.5,-0.625
285,58.5,-5.920304394294029e-13
286,58.5,0.625
287,58.5,1.25
288,58.5,1.875
289,59.0,-7.5
290,59.0,-6.875
291,59.0,-6.25
292,59.0,-5.625
293,59.0,-5.0
294,59.0,-4.375
295,59.0,-3.75
296,59.0,-3.125
297,59.0,-2.5
298,59.0,-1.875
299,59.0,-1.25
300,59.0,-0.625
301,59.0,-5.920304394294029e-13
302,59.0,0.625
303,59.0,1.25
304,59.0,1.875
305,59.5,-7.5
306,59.5,-6.875
307,59.5,-6.25
308,59.5,-5.625
309,59.5,-5.0
310,59.5,-4.375
311,59.5,-3.75
312,59.5,-3.125
313,59.5,-2.5
314,59.5,-1.875
315,59.5,-1.25
316,59.5,-0.625
317,59.5,-5.920304394294029e-13
318,59.5,0.625
319,59.5,1.25
320,59.5,1.875
