Site,Latitude,Longitude
1,52.60063,-5.00015
2,52.60063,-4.88904
3,52.60063,-4.77793
4,52.60063,-4.66682
5,52.60063,-4.55571
6,52.60063,-4.4446
7,52.60063,-4.33349
8,52.60063,-4.22238
9,52.60063,-4.11127
10,52.60063,-4.00016
11,52.60063,-3.88905
12,52.60063,-3.77794
13,52.60063,-3.66683
14,52.6673,-5.00015
15,52.6673,-4.88904
16,52.6673,-4.77793
17,52.6673,-4.66682
18,52.6673,-4.55571
19,52.6673,-4.4446
20,52.6673,-4.33349
21,52.6673,-4.22238
22,52.6673,-4.11127
23,52.6673,-4.00016
24,52.6673,-3.88905
25,52.6673,-3.77794
26,52.6673,-3.66683
27,52.73397,-5.00015
28,52.73397,-4.88904
29,52.73397,-4.77793
30,52.73397,-4.66682
31,52.73397,-4.55571
32,52.73397,-4.4446
33,52.73397,-4.33349
34,52.73397,-4.22238
35,52.73397,-4.11127
36,52.73397,-4.00016
37,52.73397,-3.88905
38,52.73397,-3.77794
39,52.73397,-3.66683
40,52.80064,-5.00015
41,52.80064,-4.88904
42,52.80064,-4.77793
43,52.80064,-4.66682
44,52.80064,-4.55571
45,52.80064,-4.4446
46,52.80064,-4.33349
47,52.80064,-4.22238
48,52.80064,-4.11127
49,52.80064,-4.00016
50,52.80064,-3.88905
51,52.80064,-3.77794
52,52.80064,-3.66683
53,52.86731,-5.00015
54,52.86731,-4.88904
55,52.86731,-4.77793
56,52.86731,-4.66682
57,52.86731,-4.55571
58,52.86731,-4.4446
59,52.86731,-4.33349
60,52.86731,-4.22238
61,52.86731,-4.11127
62,52.86731,-4.00016
63,52.86731,-3.88905
64,52.86731,-3.77794
65,52.86731,-3.66683
66,52.93398,-5.00015
67,52.93398,-4.88904
68,52.93398,-4.77793
69,52.93398,-4.66682
70,52.93398,-4.55571
71,52.93398,-4.4446
72,52.93398,-4.33349
73,52.93398,-4.22238
74,52.93398,-4.11127
75,52.93398,-4.00016
76,52.93398,-3.88905
77,52.93398,-3.77794
78,52.93398,-3.66683
79,53.00065,-5.00015
80,53.00065,-4.88904
81,53.00065,-4.77793
82,53.00065,-4.66682
83,53.00065,-4.55571
84,53.00065,-4.4446
85,53.00065,-4.33349
86,53.00065,-4.22238
87,53.00065,-4.11127
88,53.00065,-4.00016
89,53.00065,-3.88905
90,53.00065,-3.77794
91,53.00065,-3.66683
92,53.06732,-5.00015
93,53.06732,-4.88904
94,53.06732,-4.77793
95,53.06732,-4.66682
96,53.06732,-4.55571
97,53.06732,-4.4446
98,53.06732,-4.33349
99,53.06732,-4.22238
100,53.06732,-4.11127
101,53.06732,-4.00016
102,53.06732,-3.88905
103,53.06732,-3.77794
104,53.06732,-3.66683
105,53.13399,-5.00015
106,53.13399,-4.88904
107,53.13399,-4.77793
108,53.13399,-4.66682
109,53.13399,-4.55571
110,53.13399,-4.4446
111,53.13399,-4.33349
112,53.13399,-4.22238
113,53.13399,-4.11127
114,53.13399,-4.00016
115,53.13399,-3.88905
116,53.13399,-3.77794
117,53.13399,-3.66683
118,53.20066,-5.00015
119,53.20066,-4.88904
120,53.20066,-4.77793
121,53.20066,-4.66682
122,53.20066,-4.55571
123,53.20066,-4.4446
124,53.20066,-4.33349
125,53.20066,-4.22238
126,53.20066,-4.11127
127,53.20066,-4.00016
128,53.20066,-3.88905
129,53.20066,-3.77794
130,53.20066,-3.66683
131,53.26733,-5.00015
132,53.26733,-4.88904
133,53.26733,-4.77793
134,53.26733,-4.66682
135,53.26733,-4.55571
136,53.26733,-4.4446
137,53.26733,-4.33349
138,53.26733,-4.22238
139,53.26733,-4.11127
140,53.26733,-4.00016
141,53.26733,-3.88905
142,53.26733,-3.77794
143,53.26733,-3.66683
144,53.334,-5.00015
145,53.334,-4.88904
146,53.334,-4.77793
147,53.334,-4.66682
148,53.334,-4.55571
149,53.334,-4.4446
150,53.334,-4.33349
151,53.334,-4.22238
152,53.334,-4.11127
153,53.334,-4.00016
154,53.334,-3.88905
155,53.334,-3.77794
156,53.334,-3.66683
157,53.40067,-5.00015
158,53.40067,-4.88904
159,53.40067,-4.77793
160,53.40067,-4.66682
161,53.40067,-4.55571
162,53.40067,-4.4446
163,53.40067,-4.33349
164,53.40067,-4.22238
165,53.40067,-4.11127
166,53.40067,-4.00016
167,53.40067,-3.88905
168,53.40067,-3.77794
169,53.40067,-3.66683
170,53.46734,-5.00015
171,53.46734,-4.88904
172,53.46734,-4.77793
173,53.46734,-4.66682
174,53.46734,-4.55571
175,53.46734,-4.4446
176,53.46734,-4.33349
177,53.46734,-4.22238
178,53.46734,-4.11127
179,53.46734,-4.00016
180,53.46734,-3.88905
181,53.46734,-3.77794
182,53.46734,-3.66683
