Latitude,Longitude,Load Factor
50.0,1.875,0.13344953048824348
50.5,-5.0,0.13118405563162006
50.5,-4.375,0.12853418002026762
50.5,-3.75,0.13044986389083704
50.5,1.875,0.133616961873707
51.0,-3.75,0.12580727285094348
51.0,-3.125,0.1280360509891242
51.0,-2.5,0.1303259304603407
51.0,-1.875,0.1297358065956579
51.0,-1.25,0.13148271616558585
51.0,-0.625,0.13180875367663167
51.0,-5.920304394294029e-13,0.13273401762021966
51.0,0.625,0.13373191597221873
51.5,-3.125,0.12561906573765025
51.5,-2.5,0.12679549033438994
51.5,-1.875,0.12545461355715176
51.5,-1.25,0.127247456891682
51.5,-0.625,0.1279927580337923
51.5,-5.920304394294029e-13,0.12920677327373067
52.0,-5.0,0.12445572597214011
52.0,-4.375,0.12097404564881754
52.0,-3.75,0.11844962586826929
52.0,-3.125,0.11877474058189681
52.0,-2.5,0.126844898607563
52.0,-1.875,0.12275892895583997
52.0,-1.25,0.12439295995886944
52.0,-0.625,0.12507687645410834
52.0,-5.920304394294029e-13,0.12593466216557728
52.0,0.625,0.12634833091513567
52.0,1.25,0.12776478210806397
52.5,-6.875,0.11876781076365242
52.5,-3.75,0.11645189836802917
52.5,-3.125,0.12051994850302768
52.5,-2.5,0.12106275554776225
52.5,-1.875,0.12182402344838872
52.5,-1.25,0.12139741097134472
52.5,-0.625,0.12213560761229474
52.5,-5.920304394294029e-13,0.12440762840213045
52.5,0.625,0.12415502164354048
52.5,1.25,0.12544777435069904
53.0,-6.875,0.11241074759109906
53.0,-6.25,0.11689949090379656
53.0,-4.375,0.12054033042185758
53.0,-3.75,0.11187700588012975
53.0,-3.125,0.11973487934659552
53.0,-2.5,0.1184048908000625
53.0,-1.875,0.11767193261266931
53.0,-1.25,0.11900563350185914
53.0,-0.625,0.1204196026335209
53.0,-5.920304394294029e-13,0.12020080222477914
53.5,-6.875,0.11302378525356284
53.5,-6.25,0.11544518372439985
53.5,-2.5,0.11583413224456994
53.5,-1.875,0.11476014574236078
53.5,-1.25,0.11994914331023067
53.5,-0.625,0.11760677867439083
53.5,-5.920304394294029e-13,0.11744106696545799
54.0,-6.875,0.10822229115283673
54.0,-6.25,0.11137395287344849
54.0,-2.5,0.11404098883041872
54.0,-1.875,0.11204980523855496
54.0,-1.25,0.11906498621616615
54.0,-0.625,0.11555562506534174
54.5,-6.875,0.10602740916876881
54.5,-6.25,0.1077811187130712
54.5,-5.625,0.10982598975963782
54.5,-3.125,0.11205372850865195
54.5,-2.5,0.10861528951437052
54.5,-1.875,0.11421256449503892
54.5,-1.25,0.11363830994287183
55.0,-6.875,0.10316406850606573
55.0,-6.25,0.10480559123162081
55.0,-5.0,0.10915948339563136
55.0,-4.375,0.1082802794880452
55.0,-3.75,0.10878549852779784
55.0,-3.125,0.11149259329944737
55.0,-2.5,0.10797456953594926
55.0,-1.875,0.11255528276772578
55.5,-5.625,0.1036512726792512
55.5,-4.375,0.1045571219006597
55.5,-3.75,0.10405215815697369
55.5,-3.125,0.10392797524303583
55.5,-2.5,0.10792247992453648
55.5,-1.875,0.1109174292631716
56.0,-5.0,0.09921935955909263
56.0,-4.375,0.10024676005160041
56.0,-3.75,0.10488193803415119
56.5,-6.875,0.09704977612153376
56.5,-5.0,0.09389100305564155
56.5,-4.375,0.09461177472821407
56.5,-3.75,0.10514943473184035
56.5,-3.125,0.10597247868517602
57.0,-6.25,0.09731624555530177
57.0,-5.625,0.09260218921837753
57.0,-5.0,0.09054618911142796
57.0,-4.375,0.09270992347740718
57.0,-3.75,0.09149432641303709
57.0,-3.125,0.0984171421607517
57.0,-2.5,0.1077852750974639
57.5,-6.25,0.0957898063941094
57.5,-5.625,0.09125473730683761
57.5,-5.0,0.09121514286553543
57.5,-3.75,0.10524656269355553
57.5,-3.125,0.10527160557684244
57.5,-2.5,0.10384720044525832
57.5,-1.875,0.10514770371659271
58.0,-6.875,0.0929082835622036
58.0,-5.0,0.09336288159296419
58.0,-4.375,0.09496134096793755
58.5,-6.25,0.09202056584511625
58.5,-5.0,0.09428357110961517
58.5,-4.375,0.09494075660136653
58.5,-3.75,0.09717971877526611
