Latitude,Longitude,Load Factor
50.0,1.875,0.38440313018828026
50.5,-5.0,0.5740290652124617
50.5,-4.375,0.5189034093609494
50.5,-3.75,0.4884769175537093
50.5,1.875,0.42814311513425407
51.0,-3.75,0.4696659955554822
51.0,-3.125,0.4396444619079189
51.0,-2.5,0.426172594945958
51.0,-1.875,0.4303566264053363
51.0,-1.25,0.4351785083915982
51.0,-0.625,0.4410392980440644
51.0,-5.920304394294029e-13,0.4582461046405655
51.0,0.625,0.484853309733826
51.5,-3.125,0.43525592772037264
51.5,-2.5,0.41223658225048154
51.5,-1.875,0.40814196530222185
51.5,-1.25,0.41197602987814497
51.5,-0.625,0.40757418606631013
51.5,-5.920304394294029e-13,0.41648049699999695
52.0,-5.0,0.5415445080834973
52.0,-4.375,0.4832039730146164
52.0,-3.75,0.43306983526930254
52.0,-3.125,0.4052319316716935
52.0,-2.5,0.39440500632667763
52.0,-1.875,0.40180058793353424
52.0,-1.25,0.4092640150839138
52.0,-0.625,0.4103037750792384
52.0,-5.920304394294029e-13,0.4122380843036544
52.0,0.625,0.42416028070538864
52.0,1.25,0.4629348738646935
52.5,-6.875,0.4537730045439876
52.5,-3.75,0.38685513810661876
52.5,-3.125,0.4089602081534812
52.5,-2.5,0.3933176189532099
52.5,-1.875,0.397903684638729
52.5,-1.25,0.4075956456081813
52.5,-0.625,0.41221169634992455
52.5,-5.920304394294029e-13,0.41279851771929216
52.5,0.625,0.42063551942812516
52.5,1.25,0.4426240610936659
53.0,-6.875,0.4484662456864029
53.0,-6.25,0.4915920475899817
53.0,-4.375,0.5016787554695102
53.0,-3.75,0.300931503717566
53.0,-3.125,0.36077842912517943
53.0,-2.5,0.39089883314680185
53.0,-1.875,0.4073839150754954
53.0,-1.25,0.4170683805409142
53.0,-0.625,0.4180110930455491
53.0,-5.920304394294029e-13,0.43835304757521987
53.5,-6.875,0.45409917614172357
53.5,-6.25,0.49626614688195614
53.5,-2.5,0.4238610258892576
53.5,-1.875,0.4250292680322977
53.5,-1.25,0.4281630268838325
53.5,-0.625,0.41927442912042756
53.5,-5.920304394294029e-13,0.4800604128586737
54.0,-6.875,0.44697016727511885
54.0,-6.25,0.4826152781038595
54.0,-2.5,0.442511836419527
54.0,-1.875,0.4383835827592829
54.0,-1.25,0.4235160826816864
54.0,-0.625,0.445821651300419
54.5,-6.875,0.4486993386744959
54.5,-6.25,0.47108356570437104
54.5,-5.625,0.5226461577743717
54.5,-3.125,0.48041936273673147
54.5,-2.5,0.448431458270163
54.5,-1.875,0.45431152562003296
54.5,-1.25,0.465732870792622
55.0,-6.875,0.5251361441446755
55.0,-6.25,0.5343701340740252
55.0,-5.0,0.5510342012629866
55.0,-4.375,0.521209945093507
55.0,-3.75,0.4786084061328648
55.0,-3.125,0.4462603124136502
55.0,-2.5,0.454374115497038
55.0,-1.875,0.4760281218763877
55.5,-5.625,0.5742426374151933
55.5,-4.375,0.4830297267967151
55.5,-3.75,0.46502346952511564
55.5,-3.125,0.465293902340565
55.5,-2.5,0.4679983848457947
55.5,-1.875,0.5061030142126708
56.0,-5.0,0.4687538012129964
56.0,-4.375,0.4340667480896694
56.0,-3.75,0.4416648470666649
56.5,-6.875,0.6208483993785786
56.5,-5.0,0.41577816423035896
56.5,-4.375,0.408440595583599
56.5,-3.75,0.4034583930294901
56.5,-3.125,0.42107971632504515
57.0,-6.25,0.5494413637107524
57.0,-5.625,0.4614773722311687
57.0,-5.0,0.41831374497574564
57.0,-4.375,0.4285121128835453
57.0,-3.75,0.4410170642147493
57.0,-3.125,0.4455625084001473
57.0,-2.5,0.4697837352945613
57.5,-6.25,0.5706967294765684
57.5,-5.625,0.5001659689984581
57.5,-5.0,0.4473384541329666
57.5,-3.75,0.4665104473045658
57.5,-3.125,0.48548318016897496
57.5,-2.5,0.5059838259613351
57.5,-1.875,0.542875288769865
58.0,-6.875,0.6434164906711455
58.0,-5.0,0.5092256365846688
58.0,-4.375,0.478489062643637
58.5,-6.25,0.63423522946877
58.5,-5.0,0.579566562141515
58.5,-4.375,0.5691592240384383
58.5,-3.75,0.5847324339099468
